Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
50000,1.426353,-0.13267025,0.004064365,0.02353799,0.00029792642,1988.3333333333333,-9.141722861263487,-9.141722861263487,1.0
60000,1.4271597,-0.2063921,0.0043481784,0.027641643,0.00029740724,273.3333333333333,-5.017166978783077,-5.017166978783077,1.0
70000,1.4274578,-0.18942742,0.008152824,0.022630129,0.00029673023,None,None,None,1.0
80000,1.4272703,-0.24124411,0.003876013,0.026983859,0.00029619253,None,None,None,1.0
90000,1.4271227,-0.27534327,None,None,None,None,None,None,1.0
100000,1.427485,-0.26202467,0.0041071363,0.020582192,0.00029534777,1377.75,-5.974083724121253,-5.974083724121253,1.0
110000,1.427534,-0.30249867,0.0071796165,0.02719394,0.00029477253,1744.2857142857142,-7.853895236002772,-7.853895236002772,1.0
120000,1.4280823,-0.27974683,0.017797282,0.026666818,0.00029423524,374.2,-2.1238235866322235,-2.1238235866322235,1.0
130000,1.4283758,-0.26500925,0.016266534,0.022206323,0.00029370547,556.0,-1.1153334081172943,-1.1153334081172943,1.0
140000,1.4272152,-0.30529535,0.018623257,0.025561376,0.00029316786,None,None,None,1.0
150000,1.424221,-0.31888264,0.0033880265,0.020344121,0.0002926374,1999.0,-8.99900072813034,-8.99900072813034,1.0
160000,1.4228526,-0.33904815,0.0047607017,0.024309779,0.00029205362,1467.0,-6.447111388047536,-6.447111388047536,1.0
170000,1.4226068,-0.32731178,0.00413083,0.02091638,0.00029152381,1517.6666666666667,-7.036111649539736,-7.036111649539736,1.0
180000,1.4238323,-0.33679742,None,None,None,1177.5714285714287,-5.224333692342043,-5.224333692342043,1.0
190000,1.425481,-0.34624508,0.005795693,0.023821712,0.0002909775,None,None,None,1.0
200000,1.4248518,-0.3759187,0.009194035,0.023219816,0.00029043984,None,None,None,1.0
210000,1.424647,-0.371101,0.002933839,0.023993667,0.00028990227,1666.6666666666667,-7.113444844881694,-7.113444844881694,1.0
220000,1.4244722,-0.3693417,0.0060735345,0.022150684,0.00028937534,832.0,-3.3296668777863183,-3.3296668777863183,1.0
230000,1.425608,-0.36586422,0.0052307765,0.026109876,0.00028883954,1622.4,-7.314600529273351,-7.314600529273351,1.0
240000,1.4268184,-0.33549836,0.0049551935,0.02299851,0.00028828997,634.25,-2.3404168585936227,-2.3404168585936227,1.0
250000,1.4266372,-0.37789726,0.008202355,0.023566904,0.00028776407,830.5,-2.9888335267702737,-2.9888335267702737,1.0
260000,1.4262398,-0.38495523,0.005366682,0.021935942,0.0002872146,1999.0,-8.997800624370575,-8.997800624370575,1.0
270000,1.4241846,-0.35878837,0.0048878617,0.027218904,0.0002866469,1128.4,-5.291562847793102,-5.291562847793102,1.0
280000,1.422692,-0.37611318,0.0057856617,0.019689923,0.00028606757,None,None,None,1.0
290000,1.4210052,-0.34651026,None,None,None,926.6666666666666,-3.525555888811747,-3.525555888811747,1.0
300000,1.4193107,-0.3532846,0.009294614,0.021015266,0.00028549653,1353.3333333333333,-6.101667026678721,-6.101667026678721,1.0
310000,1.4188534,-0.39388692,0.0032031601,0.019396301,0.00028496387,1882.5,-8.24883388976256,-8.24883388976256,1.0
320000,1.4192662,-0.3934401,0.0042887377,0.02491918,0.00028439882,1717.5,-7.279273197054863,-7.279273197054863,1.0
330000,1.4196224,-0.36106417,0.006305961,0.024923762,0.00028381502,89.0,-1.8342501670122147,-1.8342501670122147,1.0
340000,1.419809,-0.37697053,0.0041821348,0.023198413,0.00028327745,656.0,-2.6153334975242615,-2.6153334975242615,1.0
350000,1.4197452,-0.4128039,0.002553782,0.030150102,0.00028273248,1360.0,-9.33133398493131,-9.33133398493131,1.0
360000,1.4188844,-0.3562573,0.004470072,0.027951676,0.00028219484,1220.4,-3.9885627944022417,-3.9885627944022417,1.0
370000,1.4175885,-0.35379753,0.006307508,0.028914014,0.00028162636,751.0,-4.164545687762174,-4.164545687762174,1.0
380000,1.4168833,-0.4256217,0.0037689805,0.026035367,0.00028109594,1999.0,-9.662667155265808,-9.662667155265808,1.0
390000,1.4152335,-0.40765005,0.0057978258,0.020897925,0.0002805583,None,None,None,1.0
400000,1.4141377,-0.40123138,0.0018835571,0.021179624,0.000280033,1337.0,-5.79844488369094,-5.79844488369094,1.0
410000,1.4127144,-0.35053015,0.0046301824,0.029658522,0.00027950073,1014.25,-4.3240003523727255,-4.3240003523727255,1.0
420000,1.4111881,-0.4202949,None,None,None,1387.6666666666667,-4.579166889190674,-4.579166889190674,1.0
430000,1.4114019,-0.32513782,0.0038613318,0.02284784,0.0002789526,908.0,-4.474125260797639,-4.474125260797639,1.0
440000,1.4100605,-0.40940878,0.009590609,0.023655782,0.00027838215,None,None,None,1.0
450000,1.4100267,-0.407126,0.0069670584,0.022200018,0.00027779973,1167.6666666666667,-7.137833784023921,-7.137833784023921,1.0
