Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
50000,1.4291914,-0.16446611,0.0049846694,0.025931524,0.00029861758,1799.1,-7.833333856529659,-7.833333856529659,1.0
60000,1.4310503,-0.16057645,0.005166304,0.027633615,0.00029819994,100.0,-5.2337337003167095,-5.2337337003167095,1.0
70000,1.4325457,-0.1676768,0.009187154,0.020185802,0.00029784846,828.0,-2.157125135883689,-2.157125135883689,1.0
80000,1.4328245,-0.19958012,0.0067401356,0.024834385,0.0002974087,None,-3.4010000228881836,-3.4010000228881836,1.0
90000,1.4329973,-0.24786682,None,None,None,None,None,None,1.0
100000,1.4314322,-0.28223827,0.010495824,0.027036624,0.0002969991,1953.2,-7.925500551859538,-7.925500551859538,1.0
110000,1.4298588,-0.21762441,0.007148483,0.028131302,0.00029658043,561.0,-4.603285975399471,-4.603285975399471,1.0
120000,1.4294591,-0.25285962,0.008835494,0.025422227,0.00029620685,1012.0,-3.3958334823449454,-3.3958334823449454,1.0
130000,1.4293652,-0.2905679,0.01100159,0.026297836,0.0002958554,1171.0,-4.524666937192281,-4.524666937192281,1.0
140000,1.4298571,-0.27326372,0.00913022,0.020185987,0.00029546942,None,None,None,1.0
150000,1.4301144,-0.30951852,0.013076455,0.025506344,0.000295111,1999.0,-9.996000528335571,-9.996000528335571,1.0
160000,1.4300065,-0.34999222,0.0043355464,0.026130447,0.00029476229,1999.0,-7.497500459353129,-7.497500459353129,1.0
170000,1.4286289,-0.3369418,0.006299205,0.036086246,0.0002943864,1422.3333333333333,-4.005833491683006,-4.005833491683006,1.0
180000,1.427648,-0.2863854,0.007206383,0.020908276,0.0002940289,1023.25,-5.428600347042083,-5.428600347042083,1.0
190000,1.427559,-0.28135735,0.0133616235,0.022845542,0.00029367057,858.5,-3.062739340831404,-3.062739340831404,1.0
200000,1.4258225,-0.2798069,None,None,None,None,None,None,1.0
210000,1.4241592,-0.30386457,0.013539825,0.022369023,0.00029331225,1015.5,-3.579000140229861,-3.579000140229861,1.0
220000,1.4236584,-0.36136428,0.0077205556,0.027662467,0.0002929553,1999.0,-8.330833877126375,-8.330833877126375,1.0
230000,1.4221313,-0.3175234,0.007632116,0.022337336,0.00029260656,1004.0,-3.3553335505227246,-3.3553335505227246,1.0
240000,1.4215251,-0.2643719,0.0077014165,0.028048674,0.00029225188,1017.75,-3.5495835840702057,-3.5495835840702057,1.0
250000,1.4194257,-0.2500416,0.010704016,0.028933324,0.0002919025,1078.6666666666667,-3.951222406493293,-3.951222406493293,1.0
260000,1.4173712,-0.28117335,0.015381611,0.022998082,0.00029152262,1000.5,-3.3388335909694433,-3.3388335909694433,1.0
270000,1.4142497,-0.3790676,0.007461006,0.018195141,0.00029116872,1099.0,-2.496000121037165,-2.496000121037165,1.0
280000,1.413186,-0.32372114,0.008457737,0.018876014,0.00029080678,1002.5,-4.015500266104937,-4.015500266104937,1.0
290000,1.413118,-0.25226828,0.009474292,0.02269342,0.00029045026,1471.5,-4.938818468288942,-4.938818468288942,1.0
300000,1.4140264,-0.2341448,0.012157184,0.022259086,0.0002900712,1025.3333333333333,-3.6478423680129803,-3.6478423680129803,1.0
310000,1.4123203,-0.27490333,0.016688965,0.025875784,0.00028969013,142.0,0.2860000232855479,0.2860000232855479,1.0
320000,1.4107872,-0.28973293,None,None,None,1026.0,-3.46583358446757,-3.46583358446757,1.0
330000,1.410018,-0.16489094,0.008405607,0.022375556,0.00028933113,1012.25,-3.3965835260848203,-3.3965835260848203,1.0
340000,1.4118407,-0.27920273,0.008832474,0.023187881,0.000288977,1109.0,-3.2146668757001557,-3.2146668757001557,1.0
350000,1.4137006,-0.20625648,0.010077214,0.026958352,0.00028863543,817.0,-2.6864001269141835,-2.6864001269141835,1.0
360000,1.4146987,-0.24413723,0.01665541,0.020656796,0.00028828243,1034.75,-3.5098335246245065,-3.5098335246245065,1.0
370000,1.4150718,-0.27043006,0.017467555,0.020661002,0.00028791456,1022.3333333333334,-2.8907779256502786,-2.8907779256502786,1.0
380000,1.4161154,-0.31897363,0.009017815,0.02528329,0.00028755626,1999.0,-6.996000170707703,-6.996000170707703,1.0
390000,1.4161807,-0.23386085,0.013260584,0.026605953,0.00028720018,701.0,-2.2867779235045114,-2.2867779235045114,1.0
400000,1.4159551,-0.29263946,0.00785215,0.02558261,0.0002868433,1342.3333333333333,-4.347000288111823,-4.347000288111823,1.0
410000,1.4156815,-0.2516486,0.0082302885,0.020541871,0.0002864742,838.4,-3.1121766733772613,-3.1121766733772613,1.0
420000,1.4147798,-0.24608487,0.011378983,0.028551625,0.0002861107,1233.0,-3.5430836603045464,-3.5430836603045464,1.0
430000,1.4133999,-0.3026196,0.0115445675,0.03202489,0.00028575392,587.0,-3.0684445599714913,-3.0684445599714913,1.0
440000,1.4117446,-0.3080056,0.014870561,0.014452124,0.00028538838,1339.0,-3.3823335940639176,-3.3823335940639176,1.0
450000,1.4107378,-0.35828578,0.013109292,0.02471483,0.0002850347,1525.5,-5.420000228616926,-5.420000228616926,1.0
460000,1.4104086,-0.24282877,0.010277332,0.021065442,0.00028467234,909.0,-2.6308334867159524,-2.6308334867159524,1.0
470000,1.4087732,-0.29922366,None,None,None,1037.5,-3.690500239531199,-3.690500239531199,1.0
480000,1.4078026,-0.2781636,0.012285027,0.023485417,0.00028430944,1346.6666666666667,-4.513444678650962,-4.513444678650962,1.0
490000,1.4099795,-0.33624133,0.013002207,0.020982085,0.00028395638,None,None,None,1.0
500000,1.4097298,-0.29997936,0.0070316284,0.027621035,0.00028360268,1420.8,-4.708000346024831,-4.708000346024831,1.0
510000,1.409996,-0.2773006,0.01536183,0.029994886,0.0002832454,750.3333333333334,-1.18166650334994,-1.18166650334994,1.0
520000,1.4089808,-0.23930953,0.018015325,0.019912723,0.00028287605,1128.4,-3.243333531750573,-3.243333531750573,1.0
530000,1.407753,-0.15965816,0.015142592,0.020735413,0.00028250652,1000.5,-3.3373334628219404,-3.3373334628219404,1.0
540000,1.4080337,-0.32694152,0.012996538,0.027062591,0.0002821526,1071.0,-2.4540000021457673,-2.4540000021457673,1.0
550000,1.4094342,-0.25300518,0.012333114,0.026901145,0.00028180875,1270.3333333333333,-3.80550028309226,-3.80550028309226,1.0
560000,1.4094619,-0.2808956,0.015026996,0.022646517,0.0002814544,1494.0,-2.7017500922083855,-2.7017500922083855,1.0
570000,1.4078624,-0.25201726,0.0072642784,0.029134084,0.0002811086,1500.0,-5.097273100167513,-5.097273100167513,1.0
580000,1.4068607,-0.124933235,0.016984869,0.02340517,0.00028075575,432.25,-1.6641334225734075,-1.6641334225734075,1.0
590000,1.4065592,-0.317527,0.013398621,0.024668694,0.00028040298,660.5,0.028333425521850586,0.028333425521850586,1.0
600000,1.405296,-0.18159355,0.018625839,0.023783877,0.00028001572,1285.6,-3.8300001601378124,-3.8300001601378124,1.0
610000,1.4042722,-0.22138675,None,None,None,None,None,None,1.0
620000,1.4033746,-0.21568497,0.023884812,0.02508527,0.00027965737,1152.6666666666667,-3.2353530946899864,-3.2353530946899864,1.0
630000,1.4049704,-0.28865644,0.006709704,0.02560094,0.00027927232,1999.0,-2.3825000524520874,-2.3825000524520874,1.0
640000,1.4056929,-0.20169866,0.017815964,0.020219749,0.0002789117,860.2,-2.915000116562142,-2.915000116562142,1.0
650000,1.4059277,-0.29278174,0.0119094895,0.02220474,0.00027853934,1999.0,-7.329333623250325,-7.329333623250325,1.0
660000,1.4059639,-0.22589985,0.012859362,0.024312438,0.00027819548,649.0,-0.8025556405385336,-0.8025556405385336,1.0
670000,1.4060085,-0.16343859,0.010299817,0.028048746,0.0002778331,1267.5,-3.6070001564919947,-3.6070001564919947,1.0
680000,1.4061238,-0.18406819,0.018272717,0.025975205,0.00027745962,670.4,-1.899411872467574,-1.899411872467574,1.0
690000,1.4068855,-0.16159667,0.02163341,0.02202963,0.00027707752,1076.6666666666667,-3.1624445815881095,-3.1624445815881095,1.0
700000,1.4084277,-0.15592317,0.012948635,0.030459497,0.00027672632,1001.0,-3.3408335788796344,-3.3408335788796344,1.0
710000,1.4084707,-0.19770186,0.01043527,0.022209931,0.00027636654,1027.6666666666667,-3.140000099937121,-3.140000099937121,1.0
720000,1.4088411,-0.29194528,0.010835679,0.0155633995,0.00027601264,466.0,1.0023336013158162,1.0023336013158162,1.0
730000,1.4093267,-0.12922478,None,None,None,1073.75,-3.17004364469777,-3.17004364469777,1.0
740000,1.4100226,-0.20586053,0.012107252,0.028099028,0.00027566485,682.3333333333334,-2.5716001480817794,-2.5716001480817794,1.0
750000,1.4091828,-0.18267632,0.014039262,0.027949478,0.00027530626,1346.6666666666667,-4.734666880634096,-4.734666880634096,1.0
